"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Richard H. Lee","43","70","69","67","71","277","-7","19800","71","58","38","43","31","45","305.5","38","52","56","29.3","117","20","1","-6","-2","0","17","45","10","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Richard H. Lee","35","70","73","72","72","287","-1","34510","16","38","40","35","34","46","0","0","43","65","27.8","111","7","-2","6","-5","0","17","40","14","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Richard H. Lee","72","75","65","72","73","285","1","11700","120","55","67","72","35","42","274.3","48","45","74","28.5","114","27","-2","7","-4","0","15","44","10","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Richard H. Lee","10","65","72","72","73","282","-5","165000","2","5","4","10","42","6","269","46","46","40","28.3","113","8","1","-1","-5","0","16","46","9","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Richard H. Lee","45","69","72","73","69","283","-1","18779","18","40","59","45","27","56","287.6","54","43","42","28.3","113","36","-4","8","-5","0","12","51","8","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Richard H. Lee","4","69","68","68","67","272","-16","131950","11","16","10","4","42","8","278.8","50","53","22","27.5","110","7","0","-3","-13","0","21","46","5","40"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Richard H. Lee","62","72","75","73","74","294","6","13330","49","69","64","62","29","49","291.8","22","40","38","28.3","113","45","-3","11","-2","0","11","45","15","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Richard H. Lee","31","70","69","71","74","284","0","34469","20","4","12","31","36","41","263.3","65","39","60","27.3","109","19","1","1","-2","1","11","47","13","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Richard H. Lee","65","71","71","76","73","291","3","20800","48","37","68","65","35","44","278.1","54","42","68","28","112","22","2","4","-3","0","14","43","13","5"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Richard H. Lee","57","76","68","76","69","289","1","13764","110","64","72","57","39","24","280.8","70","34","76","25.3","101","1","2","9","-10","1","17","37","14","5"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Richard H. Lee","11","74","68","68","74","284","0","125125","83","27","5","11","34","21","297.3","44","43","48","28.3","113","13","0","1","-1","0","10","53","8","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Richard H. Lee","45","71","68","67","71","277","-3","18219","92","49","30","45","35","51","297","36","47","54","28.3","113","17","-1","-1","-1","1","12","49","9","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Richard H. Lee","52","70","70","69","68","277","-7","10998","63","57","62","52","37","63","298.3","30","42","76","27.5","110","12","0","-1","-6","0","14","51","7","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Richard H. Lee","4","68","68","68","65","269","-15","137813","20","16","15","4","41","19","284.5","51","47","68","26","104","1","-3","-7","-5","0","18","51","3","40"
