"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Richard Sterne","39","74","73","74","63","284","-4","58000","57","60","70","39","38","17","0","0","55","12","30.8","123","69","5","-4","-5","0","18","42","10","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Richard Sterne","4","74","73","70","71","288","0","395000","33","17","9","4","32","6","302.5","10","44","15","28.8","115","29","1","4","-5","0","11","50","11","40"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Richard Sterne","58","75","70","73","71","289","9","46500","68","58","65","58","25","59","300.6","32","46","22","30.5","122","66","-1","11","-1","0","14","40","14","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Richard Sterne","35","70","69","72","70","281","-3","44920","35","17","42","35","44","5","289.8","37","50","14","30","120","60","1","2","-6","1","12","49","9","10"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Richard Sterne","67","69","68","71","71","279","-1","10812","49","47","59","67","31","60","304","33","52","36","30.3","121","62","2","0","-3","0","12","50","9","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Richard Sterne","39","71","65","70","66","272","-5","27690","87","40","65","39","33","34","288.3","37","47","46","28.8","115","39","0","-2","-3","0","14","49","9","10"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Richard Sterne","46","68","74","76","72","290","6","25227","12","27","50","46","35","36","292.1","22","35","75","27.5","110","4","2","5","-1","0","12","42","18","10"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Richard Sterne","60","77","74","69","75","295","7","46500","70","67","55","60","36","17","0","0","51","17","31.8","127","76","1","2","4","0","10","48","11","5"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Richard Sterne","72","76","79","72","72","299","15","44250","68","75","74","72","31","58","295","45","36","71","28.8","115","33","6","5","4","0","14","36","17","5"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Richard Sterne","28","73","72","70","71","286","2","64200","44","43","26","28","31","52","290.1","60","43","30","29","116","29","0","5","-3","0","14","42","16","10"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Richard Sterne","38","73","72","76","68","289","1","64500","61","55","66","38","33","38","0","0","54","9","31.3","125","72","2","1","-2","0","12","49","9","10"
