"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Rory McIlroy","6","65","72","67","69","273","-15","231500","1","2","4","6","21","75","0","0","55","12","29","116","37","-2","-5","-8","0","20","47","5","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Rory McIlroy","2","63","66","69","74","272","-8","448000","1","1","1","1","35","30","309.8","1","47","26","27","108","9","-1","0","-7","0","20","41","10","75"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Rory McIlroy","25","70","74","75","74","293","5","76000","8","5","19","25","26","37","296.5","27","45","8","29.8","119","51","1","4","0","0","14","42","13","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Rory McIlroy","7","70","71","74","65","280","-8","186240","59","27","37","7","34","43","309.3","6","50","31","28.3","113","9","1","-1","-8","0","16","48","8","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Rory McIlroy","8","71","77","71","69","288","0","234000","12","46","24","8","38","23","304","2","52","2","31.3","125","49","3","-3","0","0","16","42","12","30"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Rory McIlroy","8","69","76","65","70","280","-8","200100","7","59","11","8","30","25","313.8","4","48","15","28","112","23","1","1","-10","0","22","38","10","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Rory McIlroy","6","70","74","69","66","279","-9","313000","29","64","28","6","39","17","289.3","24","50","12","27.8","111","16","-2","1","-8","0","25","33","12","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Rory McIlroy","15","63","78","69","72","282","-6","102300","1","24","14","15","31","70","311.1","9","45","45","26.5","106","8","-2","6","-10","3","19","35","11","20"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Rory McIlroy","23","71","68","74","73","286","6","79968","36","10","16","23","43","9","306.4","6","47","8","31.3","125","54","3","3","0","0","9","49","13","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Rory McIlroy","1","66","66","68","71","271","-17","1665788","1","1","1","1","37","20","327.8","1","49","25","27.5","110","4","-2","-3","-12","2","20","43","7","100"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Rory McIlroy","1","69","64","66","66","265","-15","1530000","14","3","2","1","34","12","334.8","1","57","1","28.8","115","42","0","-11","-4","0","21","46","4","100"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Rory McIlroy","1","66","67","67","68","268","-16","1800000","4","1","1","1","41","10","315.6","1","50","14","27.3","109","13","2","-9","-9","2","21","41","7","100"
