"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Rory Sabbatini","53","67","74","75","75","291","3","15908","4","25","46","53","27","74","0","0","47","39","30.5","122","66","2","0","1","0","13","44","14","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Rory Sabbatini","70","66","73","73","74","286","6","10945","11","34","63","70","32","67","289.1","8","46","64","29.5","118","25","1","7","-2","0","10","50","9","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Rory Sabbatini","3","68","65","65","70","268","-16","312000","17","4","2","3","41","13","288.3","16","52","29","27","108","5","-4","-4","-8","1","23","41","5","60"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Rory Sabbatini","38","68","67","67","71","273","-15","21660","31","22","18","38","41","17","290.1","43","55","24","29","116","64","0","-1","-14","3","17","44","8","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Rory Sabbatini","23","74","68","69","74","285","-3","54290","99","32","6","23","26","55","288.4","30","49","17","29.3","117","37","1","3","-7","1","16","41","13","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Rory Sabbatini","64","67","72","77","0","216","1","13200","10","15","64","0","28","0","290.8","0","35","0","30","90","0","-1","7","-5","1","14","24","13","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Rory Sabbatini","33","65","71","68","74","278","-2","30375","3","18","9","33","29","61","290.9","22","48","17","29.3","117","47","-1","3","-4","0","17","41","13","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Rory Sabbatini","70","70","72","72","78","292","8","11229","12","22","38","70","30","50","277.4","25","40","66","29.8","119","49","-1","9","0","0","10","44","18","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Rory Sabbatini","9","69","72","70","68","279","-5","156600","5","22","16","9","35","49","285.5","8","45","18","27.8","111","25","1","-4","-2","0","14","49","9","30"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Rory Sabbatini","17","69","72","69","68","278","-10","98600","20","47","41","17","34","45","293.3","37","53","17","28.8","115","41","-1","-4","-5","0","21","42","7","20"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Rory Sabbatini","8","74","68","71","67","280","-8","200100","84","30","38","8","22","67","306.3","13","49","10","28","112","23","-2","2","-8","0","19","43","9","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Rory Sabbatini","38","71","73","69","73","286","-2","38000","48","64","28","38","30","65","292","13","48","28","30.3","121","66","3","4","-9","1","17","37","17","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Rory Sabbatini","45","70","68","71","70","279","-1","22770","45","25","47","45","22","71","302.4","23","42","61","28","112","19","-1","3","-3","0","12","49","11","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Rory Sabbatini","75","71","74","77","78","300","16","12350","27","67","75","75","24","71","309.4","15","41","64","29.5","118","41","3","11","2","0","5","48","17","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Rory Sabbatini","37","63","70","71","71","275","-9","20709","1","6","20","37","34","71","303.5","17","56","12","29","116","48","-4","2","-7","0","20","43","7","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Rory Sabbatini","22","67","70","66","70","273","-7","46760","13","28","12","22","39","43","293.9","14","55","29","30.3","121","40","3","-5","-5","1","17","43","10","20"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Rory Sabbatini","8","70","72","70","66","278","-10","189000","23","29","22","8","34","50","0","0","57","5","31","124","61","4","-7","-7","1","16","47","8","30"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Rory Sabbatini","56","73","66","76","66","281","-3","13603","107","58","73","56","38","25","283.3","32","52","11","29.8","119","71","-3","2","-2","0","15","50","2","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Rory Sabbatini","6","64","67","74","63","268","-12","163600","5","6","49","6","33","17","289.6","52","47","48","26.8","107","2","1","-6","-7","1","19","44","7","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Rory Sabbatini","24","71","68","63","71","273","-15","46170","89","60","9","24","33","48","291.3","37","54","12","27.8","111","43","-2","-2","-11","0","20","47","5","20"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Rory Sabbatini","22","68","71","67","71","277","-7","68040","18","20","17","22","28","67","287.5","42","44","49","27.3","109","12","-1","-2","-4","0","13","53","6","20"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Rory Sabbatini","11","68","75","69","66","278","-2","129320","6","42","28","11","34","32","283.5","32","50","7","28.3","113","19","-1","-1","0","0","18","40","12","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Rory Sabbatini","6","70","71","69","69","279","-9","347500","25","27","17","6","39","16","275.8","66","48","30","27.5","110","8","0","-3","-6","1","15","49","6","30"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Rory Sabbatini","10","67","70","66","68","271","-9","134875","16","15","6","10","31","48","284.9","25","56","5","29.5","118","44","0","-5","-4","0","14","53","5","30"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Rory Sabbatini","30","69","64","69","68","270","-7","45085","33","12","29","30","30","50","276","62","42","67","26.8","107","5","-5","0","-2","0","14","51","7","10"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Rory Sabbatini","24","72","67","71","72","282","-6","57040","68","27","24","24","33","61","289.4","34","51","10","28.8","115","45","-1","-1","-4","0","20","38","14","20"
