"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Russell Henley","61","71","74","72","75","292","4","15190","21","51","56","61","39","12","0","0","42","69","28.3","113","15","1","2","1","0","15","42","11","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Russell Henley","65","69","71","71","73","284","4","11385","63","51","56","65","34","64","281.1","23","50","43","31","124","57","1","3","0","0","8","53","10","5"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Russell Henley","27","72","72","70","75","289","-3","66000","24","20","25","27","50","3","273","13","55","18","31.3","125","19","4","-6","-1","0","19","39","12","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Russell Henley","51","73","65","69","69","276","-4","12902","118","42","55","51","33","9","292.1","41","50","16","28.8","115","42","1","-2","-3","0","16","47","6","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Russell Henley","52","73","70","72","74","289","2","15477","120","73","53","52","40","18","291.5","6","42","53","29","116","22","3","8","-9","3","12","40","14","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Russell Henley","1","64","68","68","72","272","-8","1080000","2","3","2","1","34","33","298","10","47","26","27.5","110","15","0","-6","-2","1","15","48","7","100"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Russell Henley","47","72","78","75","73","298","10","57000","15","34","46","47","24","47","296.4","28","42","28","29","116","39","5","8","-3","0","10","46","12","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Russell Henley","7","73","69","72","66","280","-8","186240","114","41","30","7","39","10","310.4","3","54","10","30","120","57","-4","4","-8","0","19","42","11","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Russell Henley","31","73","70","75","75","293","5","55800","27","10","18","31","37","29","292","19","37","46","27.3","109","2","1","7","-3","0","12","43","17","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Russell Henley","17","65","71","80","66","282","-6","135333","2","3","52","17","38","22","287.6","28","46","42","27.5","110","10","-1","-1","-4","0","23","34","13","20"
