"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Ryan Armour","81","67","72","73","0","212","2","9800","13","52","81","0","23","0","276.7","0","38","0","31.3","94","0","-2","4","0","0","9","34","11","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Ryan Armour","29","68","73","67","67","275","-12","44200","28","90","51","29","41","19","270.5","60","53","31","28.8","115","33","-7","0","-5","0","21","42","9","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ryan Armour","38","73","69","74","71","287","-1","11700","41","11","37","38","42","5","264.8","64","47","37","29","116","29","1","1","-3","0","17","40","14","10"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Ryan Armour","22","69","69","68","65","271","-9","60396","76","62","47","22","43","17","265.3","77","53","34","28","112","9","0","-7","-2","1","17","46","7","20"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Ryan Armour","60","69","69","76","66","280","-4","10293","61","55","69","60","42","40","266.3","69","51","47","29.5","118","51","-3","3","-4","1","11","52","7","5"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Ryan Armour","58","69","72","72","67","280","-4","7840","25","63","72","58","39","19","275","76","54","20","30.8","123","65","-1","3","-6","0","12","52","8","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Ryan Armour","20","69","65","70","68","272","-12","32455","40","10","15","20","40","25","275.8","69","49","58","27.3","109","6","-1","-5","-6","1","21","40","9","20"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Ryan Armour","36","68","69","66","71","274","-8","25833","63","63","26","36","40","30","280.1","56","57","16","30.5","122","54","0","-2","-6","1","13","51","7","10"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Ryan Armour","66","71","68","70","74","283","-5","11890","79","39","43","66","41","8","282","51","45","68","27.8","111","30","-1","1","-5","1","12","52","5","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Ryan Armour","39","71","71","70","73","285","-3","29480","47","35","24","39","38","3","269.8","71","48","44","29.3","117","25","-3","6","-6","0","16","44","11","10"
