"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Ryan Palmer","53","76","68","71","76","291","3","15908","70","42","40","53","35","40","0","0","47","39","30.5","122","66","3","4","-4","0","14","44","11","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Ryan Palmer","60","70","71","67","73","281","-3","12960","44","65","44","60","35","42","286","26","49","47","28.8","115","36","1","1","-5","1","18","39","12","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Ryan Palmer","8","65","70","67","68","270","-10","119000","3","17","13","8","29","32","305.9","10","54","4","29","116","50","-2","1","-9","2","14","49","6","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Ryan Palmer","2","64","65","70","63","262","-26","615600","2","3","7","2","39","30","300","19","57","12","26.8","107","11","-6","-7","-13","3","28","33","8","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Ryan Palmer","48","76","64","70","72","282","-2","15773","124","48","40","48","33","38","314.1","17","46","58","28.8","115","20","-1","0","-1","0","15","45","11","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Ryan Palmer","32","72","66","72","76","286","-1","39050","100","6","5","32","33","54","286.3","11","51","6","30","120","46","10","2","-13","1","16","40","13","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Ryan Palmer","2","68","66","69","69","272","-8","448000","22","6","5","1","31","51","299.9","7","53","1","29.3","117","47","0","-5","-3","1","15","47","9","75"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Ryan Palmer","56","72","71","68","82","293","5","13826","49","25","8","56","32","33","301.5","7","43","21","28.8","115","57","8","-3","0","1","17","34","17","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Ryan Palmer","7","70","68","73","69","280","-8","186240","59","9","12","7","39","10","303.9","16","51","22","28.5","114","18","0","0","-8","0","16","49","6","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Ryan Palmer","59","71","73","71","73","288","0","22000","48","64","37","59","39","17","288.8","26","45","47","28.5","114","38","3","-3","0","0","12","49","10","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Ryan Palmer","22","67","68","71","70","276","-4","64055","5","10","18","22","27","55","306.6","16","45","40","28.5","114","37","-2","0","-2","0","15","46","11","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Ryan Palmer","5","69","69","68","67","273","-7","216960","24","23","18","5","30","42","299","23","48","33","28.3","113","18","-1","-4","-2","0","15","49","8","40"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Ryan Palmer","32","67","72","72","68","279","-1","28842","10","44","50","32","30","50","292","12","48","12","28.8","115","49","-2","2","-1","0","16","43","11","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Ryan Palmer","55","73","71","70","77","291","7","14430","62","50","32","55","30","49","313.9","6","44","39","29.8","119","47","4","7","-4","1","11","41","18","5"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Ryan Palmer","58","74","71","76","70","291","3","22808","84","43","68","58","28","65","293.6","12","47","40","30.8","123","61","2","5","-4","0","10","49","13","5"
