"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Ryo Ishikawa","21","69","67","67","72","275","-9","52000","19","11","7","21","32","35","305.4","16","55","17","29.8","119","40","2","-10","-1","1","19","41","10","20"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Ryo Ishikawa","2","67","66","68","65","266","-18","528000","20","9","5","2","27","58","316","11","55","35","29.3","117","20","-4","-8","-6","0","22","46","4","75"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ryo Ishikawa","66","81","72","68","69","290","2","42875","75","76","70","66","45","1","0","0","59","2","33","132","76","3","3","-4","0","12","48","11","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Ryo Ishikawa","25","66","69","69","67","271","-17","41681","13","22","34","25","42","13","297.4","24","59","4","29","116","64","0","0","-17","3","20","41","7","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Ryo Ishikawa","7","72","70","69","70","281","-7","190117","63","32","6","7","26","55","286.4","37","48","22","27.5","110","9","1","-2","-6","0","20","41","9","30"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ryo Ishikawa","19","70","69","69","69","277","-11","42420","32","25","27","19","33","59","298","11","45","65","28","112","13","-3","0","-8","0","20","43","9","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Ryo Ishikawa","25","73","72","72","68","285","1","42587","70","64","65","25","31","44","261.4","70","44","43","28.3","113","7","4","6","-9","0","12","49","9","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Ryo Ishikawa","8","65","74","70","71","280","-8","186000","2","10","8","8","32","64","290.4","28","46","44","27.8","111","6","3","-3","-8","0","19","44","7","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Ryo Ishikawa","31","69","74","71","71","285","-3","37952","38","55","30","31","30","63","299.8","24","44","67","27.8","111","3","1","2","-6","0","11","54","6","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Ryo Ishikawa","18","77","68","67","69","281","-3","75632","124","58","22","18","34","60","253.1","77","49","6","28.8","115","55","-1","1","-3","0","16","44","11","20"
