"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Shane Lowry","9","68","75","70","65","278","-10","192492","3","24","23","9","36","28","272.6","56","52","9","28.8","115","24","-2","1","-9","0","21","42","7","30"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Shane Lowry","46","68","74","74","67","283","-1","25375","11","53","72","46","32","62","292","31","40","68","27.5","110","16","2","0","-3","0","15","44","12","10"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Shane Lowry","34","78","69","74","68","289","1","65000","71","49","51","34","37","21","0","0","48","18","29","116","37","3","1","-3","1","16","39","13","10"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Shane Lowry","7","74","67","72","68","281","-7","189788","112","33","32","7","32","23","293.6","24","48","22","28.5","114","19","-2","5","-10","0","16","48","7","30"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Shane Lowry","21","69","67","67","71","274","-13","63835","50","26","10","21","36","55","293.4","32","59","3","30","120","54","-4","1","-10","0","19","47","6","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Shane Lowry","17","71","74","70","74","289","1","97500","13","23","12","17","32","11","299.4","28","39","58","28","112","11","3","4","-6","1","11","46","14","20"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Shane Lowry","58","74","74","75","75","298","10","13578","32","47","54","58","36","14","286.9","38","38","47","29.5","118","59","5","7","-2","0","10","43","18","5"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Shane Lowry","9","69","70","70","71","280","0","235316","14","12","5","9","44","13","306.9","41","52","21","31.3","125","11","0","3","-3","0","15","43","13","30"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Shane Lowry","1","70","66","67","66","269","-11","1570000","22","2","3","1","26","29","324.9","23","47","5","26.8","107","7","-1","-5","-5","0","18","47","7","100"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Shane Lowry","68","74","75","72","71","292","4","42375","70","71","70","68","38","13","0","0","56","14","33.5","134","76","1","4","-1","0","15","41","14","5"
