"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Thomas Aiken","72","70","69","73","73","285","5","11286","67","50","69","72","39","14","284.3","26","43","53","29","116","59","-1","11","-5","1","9","48","12","5"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Thomas Aiken","23","78","69","72","71","290","2","83000","65","31","34","23","34","5","279.4","73","52","1","29.5","118","51","7","1","-6","0","18","41","9","20"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Thomas Aiken","26","69","68","70","76","283","-5","45880","21","13","9","26","47","4","288","41","42","61","26.5","106","8","0","0","-5","1","20","36","13","10"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Thomas Aiken","25","74","71","73","66","284","4","85622","98","60","58","25","51","1","299.4","54","54","10","32.8","131","49","-1","9","-4","0","13","44","13","20"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Thomas Aiken","80","75","69","72","74","290","2","21848","127","61","74","80","56","1","290.9","57","61","5","34.3","137","80","1","4","-3","0","10","50","12","5"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Thomas Aiken","54","70","71","73","72","286","-2","47500","42","37","54","54","45","1","0","0","63","1","33.5","134","76","1","1","-4","0","13","48","11","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Thomas Aiken","58","66","73","67","72","278","-4","12540","10","53","34","58","50","2","267.6","69","57","14","31.8","127","73","0","1","-5","0","13","50","9","5"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Thomas Aiken","56","71","66","67","69","273","-7","12818","102","66","52","56","37","12","310.9","18","48","53","28","112","25","-1","1","-7","0","19","43","8","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Thomas Aiken","60","68","73","72","75","288","1","15050","23","47","46","60","42","17","288.8","40","50","14","30","120","61","1","6","-6","0","14","44","13","5"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Thomas Aiken","42","75","69","71","73","288","4","19309","104","43","39","42","34","8","299.1","9","42","34","29","116","42","7","0","-3","0","11","47","13","10"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Thomas Aiken","47","72","71","70","73","286","-2","7706","74","56","36","47","40","14","283","38","50","28","29.8","119","43","0","3","-5","1","12","47","12","10"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Thomas Aiken","42","71","72","72","71","286","-2","19468","37","45","54","42","44","5","286.4","30","53","1","30.3","121","68","-1","1","-2","1","8","55","8","10"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Thomas Aiken","15","68","69","70","0","207","-9","112000","17","10","15","0","38","1","285.3","40","37","55","27.7","83","16","-3","-2","-4","0","11","41","2","20"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Thomas Aiken","35","70","70","67","67","274","-10","15808","54","63","36","35","42","13","287.5","41","57","3","29.8","119","57","4","-6","-8","0","21","40","11","10"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Thomas Aiken","49","75","69","73","70","287","-1","14302","97","36","52","49","25","55","308.9","46","41","53","28","112","40","5","4","-10","0","16","41","15","10"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Thomas Aiken","22","68","66","69","67","270","-10","45665","41","11","33","22","45","2","308.8","45","58","14","31","124","53","-5","3","-8","1","17","46","7","20"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Thomas Aiken","58","71","71","75","79","296","8","25026","29","24","47","58","43","37","0","0","42","64","28.8","115","11","3","4","1","0","11","45","14","5"
