"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tiger Woods","80","72","71","79","0","222","6","10919","63","50","80","0","18","0","285.7","0","30","0","29.3","88","0","1","1","4","0","8","34","10","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Tiger Woods","25","76","73","66","78","293","5","76000","53","25","4","25","31","13","285.6","55","40","46","27.8","111","10","5","3","-3","0","15","38","18","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Tiger Woods","69","69","77","73","75","294","6","21356","10","56","58","69","37","20","292.1","14","48","32","29.8","119","46","-3","15","-6","0","15","43","9","5"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Tiger Woods","17","73","69","68","73","283","-5","155000","41","19","5","17","30","51","302","18","46","28","28.5","114","11","3","4","-12","1","15","44","12","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Tiger Woods","69","73","71","75","72","291","3","20000","77","61","68","69","28","72","295.5","12","44","61","28.5","114","31","1","7","-5","0","18","39","10","5"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Tiger Woods","71","73","70","85","74","302","14","12276","85","64","71","71","25","71","304.1","10","35","71","27.8","111","26","1","13","0","0","16","34","16","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Tiger Woods","32","66","69","71","67","273","-7","37922","12","26","47","32","36","61","286.9","54","56","14","29.8","119","58","-3","-3","-1","0","18","45","7","10"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Tiger Woods","18","68","66","74","68","276","-8","93800","27","5","42","18","36","38","315.9","2","53","29","28.5","114","12","-1","-5","-2","0","20","41","10","20"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tiger Woods","10","64","65","68","70","267","-13","129600","7","1","2","10","35","39","303.9","14","56","18","28.8","115","9","0","-6","-7","1","20","44","6","30"
"2018","29-Jan-18","41667","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tiger Woods","23","72","71","70","72","285","-3","59685","84","65","39","23","17","76","302.5","23","42","53","27.5","110","8","1","2","-6","0","15","46","10","20"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Tiger Woods","12","70","71","69","70","280","0","151800","21","14","11","12","33","45","318.9","3","48","10","28.8","115","31","5","-6","1","0","13","49","7","20"
"2018","11-Mar-18","41708","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Tiger Woods","2","70","68","67","70","275","-9","572000","8","2","2","2","31","16","296.3","36","48","8","27.8","111","24","0","-3","-6","0","16","49","7","75"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tiger Woods","5","68","72","69","69","278","-10","338200","7","17","10","5","34","66","306.8","6","45","53","26.8","107","5","2","-1","-11","0","20","43","8","40"
