"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tim Herron","51","68","70","66","72","276","-4","12902","25","42","27","51","29","32","302.9","15","46","43","29.3","117","55","0","-1","-3","0","12","52","8","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tim Herron","75","70","74","77","0","221","5","11346","29","66","75","0","19","0","284.2","0","29","0","28.3","85","0","6","3","-4","0","11","29","12","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Tim Herron","77","73","72","74","0","219","6","10431","70","64","77","0","22","0","276.2","0","28","0","28.7","86","0","1","10","-5","0","8","34","10","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Tim Herron","27","69","72","72","70","283","-1","43790","5","22","34","27","34","60","268.9","55","42","35","28","112","36","0","3","-4","1","7","56","8","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Tim Herron","22","68","66","74","68","276","-4","64055","13","2","38","22","35","17","297.4","37","49","17","28.3","113","27","-1","0","-3","0","17","43","11","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Tim Herron","63","72","69","71","71","283","3","13440","82","60","66","63","33","21","301.4","15","43","66","29","116","33","1","5","-3","0","11","47","14","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tim Herron","61","68","71","69","71","279","-1","13206","40","69","55","61","31","72","288.4","54","44","67","28.5","114","30","2","-1","-2","0","12","51","7","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Tim Herron","34","69","67","70","70","276","-4","26980","44","20","22","34","38","24","271.1","66","44","48","27.8","111","24","4","-5","-3","0","13","50","9","10"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tim Herron","70","70","68","69","73","280","0","10441","73","61","53","70","36","35","298.6","46","48","59","30","120","54","1","5","-6","0","15","44","11","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Tim Herron","73","74","71","75","72","292","4","5820","63","42","68","73","37","29","274.1","43","50","23","31.3","125","71","5","3","-4","0","12","45","14","5"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Tim Herron","70","70","70","74","73","287","-1","8118","63","53","68","70","34","28","269.9","56","48","70","30","120","54","2","2","-5","0","9","55","8","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Tim Herron","52","69","70","66","72","277","-5","13224","65","53","20","52","43","27","272.3","62","56","22","30.3","121","44","0","-2","-3","0","11","55","6","5"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Tim Herron","15","68","75","72","66","281","-7","46500","14","56","51","15","38","23","278.1","51","48","44","27.5","110","7","-4","-1","-2","0","17","45","10","20"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Tim Herron","74","70","66","70","74","280","0","14016","87","46","56","74","29","61","279.9","47","41","70","27","108","12","1","1","-2","0","14","45","12","5"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Tim Herron","29","72","67","70","69","278","-2","43550","74","33","39","29","30","47","279.8","58","48","35","28.5","114","23","-3","2","-1","0","15","45","11","10"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Tim Herron","54","70","63","72","72","277","-7","7910","54","4","22","54","35","53","288","38","48","65","27.3","109","6","2","-7","-2","1","17","44","8","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Herron","62","68","69","70","73","280","-4","10320","24","32","50","62","47","6","286.6","41","52","43","29.8","119","58","-1","0","-3","0","16","44","12","5"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tim Herron","62","72","73","72","76","293","5","18531","28","46","48","62","34","54","276","65","39","56","27.5","110","21","5","8","-8","1","12","42","16","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Tim Herron","42","67","67","73","67","274","-10","11326","10","10","51","42","38","42","292.6","40","56","23","28.8","115","23","5","-7","-8","0","22","41","7","10"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Tim Herron","53","73","66","73","76","288","0","9861","89","17","32","53","26","60","294.1","17","42","69","27.5","110","10","-1","5","-4","0","14","45","12","5"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Tim Herron","76","73","70","73","78","294","6","5640","87","65","68","76","42","38","287","56","43","55","30.3","121","67","3","9","-6","0","12","43","16","5"
