"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Tim Wilkinson","10","70","63","71","67","271","-13","156000","44","4","15","10","42","10","267","62","56","8","29.3","117","49","-3","-2","-8","1","19","45","6","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tim Wilkinson","46","71","67","67","70","275","-5","15523","88","42","40","46","31","16","288.4","53","43","59","27.5","110","19","0","-2","-3","0","15","47","10","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Tim Wilkinson","7","67","72","69","73","281","-6","205700","10","15","2","7","39","21","266.3","51","53","3","29.8","119","39","1","0","-7","0","16","46","10","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Tim Wilkinson","65","71","72","73","70","286","2","13869","59","68","73","65","27","56","283","59","38","69","27.5","110","19","0","10","-8","2","10","46","12","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Tim Wilkinson","55","70","69","67","75","281","1","13680","57","52","24","55","29","61","283","45","40","64","27.5","110","15","-1","7","-5","0","14","45","11","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tim Wilkinson","72","71","74","77","73","295","7","12214","40","57","77","72","31","69","270.1","75","45","54","30.3","121","53","4","11","-8","0","10","47","13","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Tim Wilkinson","62","74","70","74","76","294","6","13330","79","33","48","62","33","30","274.8","64","36","56","27.5","110","30","6","6","-6","0","13","41","17","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Tim Wilkinson","61","70","71","73","74","288","4","12644","20","22","43","61","29","75","274.3","37","41","44","28.5","114","49","-1","5","0","0","10","50","10","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Tim Wilkinson","52","70","70","65","80","285","-3","15477","36","35","10","52","35","38","281","64","45","67","27.5","110","12","-1","6","-8","1","15","45","9","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Tim Wilkinson","22","66","71","71","68","276","-4","64055","2","19","38","22","28","50","301.5","27","45","40","27.8","111","16","2","-4","-2","0","14","50","6","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Tim Wilkinson","51","66","71","69","74","280","0","15061","2","17","18","51","31","31","293.3","42","47","37","28.8","115","28","0","1","-1","0","11","51","9","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tim Wilkinson","32","68","68","70","73","279","-1","28842","24","16","16","32","31","43","274.9","56","46","27","29.3","117","57","-2","3","-2","0","13","47","12","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tim Wilkinson","18","66","68","67","70","271","-9","78120","16","13","7","18","40","25","286.8","57","45","64","26.3","105","1","1","-7","-3","0","17","47","8","20"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Tim Wilkinson","24","70","71","72","74","287","3","52650","16","21","21","24","32","36","290.9","59","43","48","28.8","115","25","4","3","-4","0","9","51","12","20"
