"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Tom Gillis","26","70","68","72","72","282","-6","44400","25","8","22","26","34","22","289.6","58","45","58","27.5","110","7","0","0","-6","0","16","46","10","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Tom Gillis","29","69","68","76","70","283","-5","25433","14","4","40","29","32","30","281.6","41","53","24","29.5","118","36","1","-1","-5","0","15","48","8","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Tom Gillis","87","66","71","74","0","211","3","11928","5","52","87","0","26","0","269.3","0","31","0","28.7","86","0","2","3","-2","0","7","38","8","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tom Gillis","53","66","68","73","74","281","1","13992","8","4","19","53","27","60","289.5","47","42","49","28.3","113","49","-3","6","-2","0","13","46","12","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tom Gillis","68","65","71","74","70","280","0","13056","7","34","71","68","40","28","276.3","58","44","70","29.8","119","54","0","-1","1","0","15","43","13","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tom Gillis","2","66","65","69","64","264","-20","507600","10","2","6","1","49","2","268.3","65","59","2","27.8","111","15","-1","-11","-8","0","25","42","5","75"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Tom Gillis","70","73","68","73","72","286","-2","11542","109","56","70","70","32","17","294.9","49","44","63","26.8","107","13","-1","4","-5","0","14","47","10","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Tom Gillis","70","67","76","72","0","215","0","13300","14","67","70","0","26","0","280.8","0","30","0","28","84","0","-1","2","-1","0","10","34","10","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Tom Gillis","65","72","71","72","75","290","2","12772","55","45","54","65","35","42","281.1","42","40","63","27.8","111","27","1","3","-2","0","9","53","9","5"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Tom Gillis","66","69","67","71","71","278","-2","14746","69","46","61","66","33","34","280.3","46","46","53","28","112","36","1","-1","-2","0","15","44","13","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Tom Gillis","35","68","72","68","66","274","-10","15808","20","63","49","35","37","41","288","38","49","58","28.3","113","18","-2","0","-8","1","17","45","9","10"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tom Gillis","34","64","68","71","72","275","-9","24240","1","4","16","34","41","49","283.5","50","51","53","27.8","111","8","-1","-2","-6","0","21","40","10","10"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tom Gillis","57","68","66","70","71","275","-5","12376","41","11","41","57","34","40","297.1","71","52","55","30.3","121","39","0","-1","-4","0","15","48","8","5"
