"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tommy Fleetwood","18","68","70","69","72","279","-9","87000","4","5","10","18","35","31","0","0","46","58","27.8","111","17","-1","-3","-5","1","17","45","8","20"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tommy Fleetwood","24","69","75","74","69","287","-1","73500","2","27","34","24","39","10","0","0","51","13","30.5","122","63","-1","0","0","0","13","49","8","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Tommy Fleetwood","71","77","77","73","80","307","19","42625","63","68","66","71","25","58","289.4","59","36","68","30.5","122","66","5","15","-1","0","10","36","23","5"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Tommy Fleetwood","27","74","69","73","69","285","5","64126","98","35","39","27","41","40","294.5","62","48","53","32.5","130","43","3","2","0","1","12","40","19","10"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tommy Fleetwood","30","67","71","72","70","280","-8","68000","9","13","34","30","30","52","0","0","49","41","28.5","114","26","1","1","-10","1","15","47","9","10"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Tommy Fleetwood","2","69","70","66","66","271","-13","1045000","14","19","7","2","41","5","304.4","21","52","5","28.8","115","33","2","-7","-8","1","17","48","6","75"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tommy Fleetwood","10","78","66","70","68","282","-6","226200","107","38","24","10","44","7","290.1","39","38","61","26.3","105","3","0","1","-7","1","15","45","11","30"
"2017","14-May-17","41407","The Players Championship","","TPC Sawgrass","7189","72","The Players Championship","Tommy Fleetwood","41","74","67","76","74","291","3","36750","83","16","31","41","39","15","294","12","45","37","31","124","68","4","5","-6","0","14","45","9","10"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Tommy Fleetwood","4","67","70","68","72","277","-11","563642","4","1","2","4","47","10","0","0","54","11","28","112","5","-1","-5","-5","0","17","49","6","40"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Tommy Fleetwood","27","76","69","66","70","281","1","64500","133","61","29","27","30","17","284","62","47","19","29.8","119","46","1","3","-3","1","8","53","9","10"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Tommy Fleetwood","28","70","68","70","71","279","-1","73563","22","12","16","28","34","5","311.9","41","44","31","29","116","47","0","3","-4","0","9","55","8","10"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Tommy Fleetwood","61","70","75","73","74","292","8","21300","15","43","59","61","35","30","300.5","38","47","10","31","124","67","0","10","-2","0","12","43","14","5"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Tommy Fleetwood","20","71","70","70","74","285","-3","90250","31","25","15","20","36","22","0","0","51","20","29.8","119","44","1","-4","0","0","13","49","10","20"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Tommy Fleetwood","37","70","71","73","69","283","-1","33120","21","26","51","37","39","2","298.9","32","41","27","28.3","113","51","0","6","-7","0","16","42","13","10"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Tommy Fleetwood","4","70","68","67","69","274","-6","316800","21","3","4","4","42","1","296.3","35","47","14","28","112","18","0","-1","-5","2","13","47","9","40"
"2018","4-Mar-18","41701","WGC-Mexico Championship","","Club de Golf Chapultepec","7345","71","WGC-Mexico Championship","Tommy Fleetwood","14","72","71","67","66","276","-8","126500","39","40","29","14","30","39","309.1","19","48","31","29.5","118","36","0","0","-8","1","23","33","13","20"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tommy Fleetwood","26","69","76","69","70","284","-4","59319","13","66","44","26","40","23","302.3","13","49","25","29.3","117","48","3","1","-8","0","16","46","8","10"
