"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Tony Finau","12","69","73","68","68","278","-10","117600","13","47","22","12","29","54","305.9","13","49","40","27.5","110","7","0","1","-11","0","21","43","6","20"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Tony Finau","7","68","65","70","67","270","-14","193233","19","3","17","7","30","50","338","1","59","3","30","120","54","-1","-4","-9","1","22","41","7","30"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Tony Finau","14","71","67","67","66","271","-9","100800","78","41","27","14","32","65","304.8","2","56","25","29.8","119","27","-3","-1","-5","1","18","43","9","20"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Tony Finau","7","65","72","70","65","272","-12","196725","1","37","26","7","33","61","279.8","47","50","22","27.5","110","27","-2","-8","-2","0","21","43","7","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Tony Finau","59","71","65","68","74","278","-10","12426","89","31","24","59","33","48","319.9","1","50","47","28.5","114","58","0","0","-10","0","20","43","8","5"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Tony Finau","22","72","68","70","67","277","-7","68040","87","27","38","22","31","61","312.6","1","52","10","30","120","64","-2","-1","-4","1","17","43","10","20"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Tony Finau","24","73","68","70","74","285","-3","55440","95","33","17","24","22","68","291.4","33","46","32","28","112","12","4","-3","-4","0","18","39","15","20"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Tony Finau","56","70","70","77","73","290","6","15008","17","11","59","56","22","68","314.6","2","44","6","30.5","122","72","3","6","-3","0","7","53","11","5"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Tony Finau","68","79","69","76","77","301","13","12524","95","47","61","68","27","61","314","2","41","27","29.5","118","59","4","7","2","0","10","41","20","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Tony Finau","42","69","68","77","68","282","-6","21236","28","18","63","42","35","41","310.3","4","52","35","29.5","118","45","0","-4","-2","0","18","44","8","10"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Tony Finau","16","73","67","70","70","280","-8","113600","88","19","23","16","29","29","312.9","11","51","11","29","116","55","0","0","-8","0","20","42","8","20"
