"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Trevor Immelman","21","70","69","68","68","275","-9","52000","34","28","30","21","32","35","282.1","66","55","17","29.3","117","32","0","-5","-4","0","16","49","7","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Trevor Immelman","20","67","72","70","65","274","-6","68750","22","34","36","20","40","30","282","20","61","1","32","128","69","1","-3","-4","0","12","54","6","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Trevor Immelman","10","68","74","71","69","282","-6","135217","10","32","23","10","29","38","293.6","17","46","37","28.3","113","18","-3","2","-5","1","15","45","11","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Trevor Immelman","67","69","69","72","75","285","5","12300","31","38","66","67","29","61","293","18","44","45","30.3","121","65","2","7","-4","1","9","48","12","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Trevor Immelman","37","74","66","70","70","280","-8","15400","94","33","42","37","35","47","285.9","37","54","17","29.3","117","54","1","0","-9","0","17","47","7","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Trevor Immelman","26","69","72","71","73","285","-3","45880","17","24","19","26","32","64","291.5","27","51","12","29.8","119","42","1","3","-7","1","15","43","12","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Trevor Immelman","31","70","71","74","74","289","1","36766","12","9","24","31","36","15","298.3","11","44","15","28.5","114","53","3","1","-3","0","12","48","11","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Trevor Immelman","74","74","69","75","74","292","8","11078","92","37","67","74","39","19","285","10","41","44","29.3","117","65","5","3","0","0","10","47","12","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Trevor Immelman","45","69","71","68","71","279","-1","18304","24","47","37","45","25","65","290.4","50","44","60","28.5","114","25","-2","3","-2","0","8","57","7","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Trevor Immelman","46","74","71","71","74","290","6","16900","83","67","48","46","31","42","298.1","40","44","39","30.3","121","55","4","1","1","0","13","41","17","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Trevor Immelman","57","69","70","67","73","279","-1","14300","53","49","30","57","40","26","289.3","53","54","6","31.3","125","74","0","0","-1","0","9","55","8","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Trevor Immelman","45","66","71","70","69","276","-8","13872","11","25","50","45","41","37","306.6","8","48","60","27.5","110","12","3","-4","-7","2","17","41","11","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Trevor Immelman","46","76","67","71","71","285","-3","16046","132","63","54","46","30","49","291.5","52","45","58","27.3","109","6","2","-1","-4","1","13","46","12","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Trevor Immelman","49","74","70","71","73","288","0","17687","54","39","43","49","46","3","0","0","52","25","31.3","125","66","0","3","-3","0","14","44","14","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Trevor Immelman","82","71","67","71","0","209","1","12496","87","67","82","0","21","0","296","0","32","0","29","87","0","2","2","-3","0","10","35","7","5"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Trevor Immelman","32","70","69","67","70","276","-8","21219","47","38","22","32","29","75","301","12","47","72","28","112","9","-2","0","-6","0","17","46","9","10"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Trevor Immelman","62","69","70","80","71","290","2","6420","16","15","68","62","38","23","287.8","29","49","32","30.3","121","57","3","7","-8","0","12","48","11","5"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Trevor Immelman","71","72","73","77","73","295","7","14089","53","62","72","71","20","76","284.5","37","34","77","27.5","110","9","4","7","-4","0","13","41","16","5"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Trevor Immelman","77","69","74","74","0","217","1","5520","22","65","77","0","28","0","301","0","33","0","29.7","89","0","4","4","-7","0","15","24","14","5"
