"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Will MacKenzie","9","69","70","64","69","272","-12","135000","19","28","7","9","37","10","304.4","17","54","24","28.5","114","19","-1","-3","-8","1","21","39","11","30"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Will MacKenzie","15","70","68","68","65","271","-13","87150","71","48","38","15","20","71","314.5","13","55","35","28.3","113","7","-4","-7","-2","2","20","39","11","20"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Will MacKenzie","12","69","69","69","65","272","-12","126000","24","34","36","12","40","17","281.1","38","52","29","28.3","113","22","-2","-4","-6","0","19","46","7","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Will MacKenzie","13","67","66","66","69","268","-20","103740","20","8","7","13","46","2","300.9","17","59","4","29","116","64","-1","-4","-15","2","20","46","4","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Will MacKenzie","7","72","69","70","70","281","-7","190117","63","22","6","7","39","2","278","57","50","12","29.8","119","48","0","3","-10","1","17","43","10","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Will MacKenzie","13","69","74","70","70","283","-4","116600","35","73","31","13","40","18","278.8","27","47","33","28.8","115","17","-1","2","-5","1","14","46","10","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Will MacKenzie","52","73","69","72","70","284","0","15467","101","55","59","52","27","56","307.6","5","45","32","29.8","119","66","0","7","-7","0","13","47","11","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Will MacKenzie","6","67","68","69","70","274","-6","208500","11","9","9","6","30","56","288.5","26","43","51","27.3","109","12","0","-5","-1","0","11","56","5","30"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Will MacKenzie","4","73","70","68","69","280","-4","235600","70","35","11","4","33","33","274","33","49","12","28.8","115","15","0","1","-5","1","18","39","12","40"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Will MacKenzie","43","71","75","72","70","288","0","18476","40","66","64","43","38","25","288.1","35","55","3","32.5","130","74","-2","6","-4","0","14","44","14","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Will MacKenzie","2","69","72","70","70","281","-7","545600","4","9","8","2","39","8","278.3","58","41","33","25.3","101","1","1","-7","-1","1","16","46","7","75"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Will MacKenzie","27","73","65","67","69","274","-10","30628","119","35","26","27","48","2","301.3","21","47","65","27.8","111","18","-4","-3","-3","1","17","45","9","10"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Will MacKenzie","45","70","73","67","72","282","-2","23424","26","50","34","45","40","16","293.9","41","52","15","29.5","118","50","1","1","-4","0","15","46","9","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Will MacKenzie","59","75","72","69","71","287","7","17520","64","65","55","59","32","35","303.4","37","41","59","29.8","119","42","1","4","2","0","9","48","14","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Will MacKenzie","2","65","68","65","68","266","-14","492800","1","5","1","1","42","18","285.8","34","62","1","29.5","118","22","-4","-6","-4","1","18","48","4","75"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Will MacKenzie","52","69","73","71","76","289","1","16415","13","29","29","52","36","41","0","0","49","46","31","124","61","2","0","-1","0","9","53","10","5"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Will MacKenzie","9","65","68","74","66","273","-11","141171","1","5","26","9","41","12","284","29","55","5","29.3","117","64","3","-3","-11","1","20","42","7","30"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Will MacKenzie","6","75","69","70","68","282","-6","97125","82","31","20","6","35","41","281.4","22","51","17","29.8","119","50","2","-3","-5","0","14","50","8","30"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Will MacKenzie","44","69","72","73","71","285","1","19470","20","27","44","44","35","19","278.3","16","45","40","28.8","115","31","5","2","-6","0","14","46","9","10"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Will MacKenzie","74","77","72","80","76","305","17","11904","69","55","75","74","38","7","283","51","38","47","29.8","119","66","3","9","5","1","10","39","16","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Will MacKenzie","20","69","68","70","75","282","-6","71621","13","5","6","20","26","49","298.8","39","49","22","28.8","115","48","0","0","-6","0","20","38","14","20"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Will MacKenzie","68","65","69","72","74","280","0","13056","7","16","49","68","47","3","295.9","19","52","23","30","120","61","4","-2","-2","0","17","41","11","5"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Will MacKenzie","61","72","70","71","72","285","-3","12960","89","56","61","61","25","63","298.5","42","52","22","29.5","118","56","1","-4","0","0","14","47","11","5"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Will MacKenzie","54","71","68","73","70","282","-6","9307","83","40","58","54","34","28","273.8","47","56","21","30.3","121","60","-2","1","-5","0","16","46","10","5"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Will MacKenzie","58","67","70","72","72","281","-3","13764","10","23","62","58","39","23","285.1","15","46","63","28","112","26","2","-1","-4","0","16","45","9","5"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Will MacKenzie","59","69","73","70","73","285","1","14892","27","62","58","59","29","45","276.4","66","48","20","29.8","119","57","-2","7","-4","0","14","45","11","5"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Will MacKenzie","51","71","70","70","74","285","5","14823","40","28","22","51","39","10","284.1","62","44","38","29.5","118","49","5","2","-2","0","14","41","15","5"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Will MacKenzie","37","70","67","74","76","287","3","28731","8","1","9","37","30","26","279.4","57","39","47","28","112","21","4","1","-2","0","11","48","12","10"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Will MacKenzie","8","66","71","71","71","279","-9","87000","3","3","8","8","42","5","281.8","41","54","8","29.5","118","38","0","-1","-8","0","16","50","5","30"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Will MacKenzie","19","69","68","73","72","282","-6","73950","32","5","14","19","39","16","289","44","53","10","29.3","117","42","2","-3","-5","0","12","56","3","20"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Will MacKenzie","59","73","71","71","76","291","7","12862","86","63","40","59","37","7","280.4","37","42","28","29.5","118","65","2","7","-2","0","11","45","14","5"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Will MacKenzie","24","66","70","66","69","271","-9","54020","18","46","23","24","35","25","277.9","55","50","24","27.8","111","31","-3","-2","-4","0","19","44","8","20"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Will MacKenzie","52","70","66","73","74","283","3","14384","40","6","32","52","17","72","299.5","16","39","61","27.5","110","22","0","5","-2","0","13","45","12","5"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Will MacKenzie","64","68","71","75","72","286","2","14214","22","25","65","64","34","29","296","26","52","27","31.5","126","74","2","2","-2","0","12","47","12","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Will MacKenzie","35","70","68","70","66","274","-10","15808","54","42","49","35","31","69","288.3","37","45","71","26.5","106","3","-3","-3","-4","0","18","48","4","10"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Will MacKenzie","56","66","71","72","70","279","-5","10704","6","32","66","56","41","49","279.8","59","48","65","29","116","32","-2","1","-4","0","17","45","9","5"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Will MacKenzie","60","69","69","72","75","285","-3","13140","22","16","28","60","32","29","286.8","40","51","49","29.8","119","54","2","-5","0","0","15","47","8","5"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Will MacKenzie","48","72","67","67","71","277","-7","16588","104","66","36","48","37","6","303.5","49","49","55","28.8","115","28","-1","-1","-5","0","16","48","7","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Will MacKenzie","50","71","67","66","74","278","-6","16884","70","39","24","50","34","56","266.8","70","49","47","28.5","114","39","-5","2","-3","0","18","43","10","10"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Will MacKenzie","67","66","69","71","74","280","-2","12240","18","36","51","67","40","30","280.3","55","51","55","30.5","122","54","2","-2","-2","1","11","49","11","5"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Will MacKenzie","14","70","68","74","68","280","-7","108160","13","7","34","14","43","14","267.1","59","45","59","27.8","111","4","1","1","-9","0","14","52","5","20"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Will MacKenzie","49","72","68","70","70","280","-8","7269","93","53","47","49","41","22","287.4","54","56","23","30.3","121","58","3","-6","-5","0","14","52","6","10"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Will MacKenzie","52","74","66","71","70","281","1","14896","123","58","61","52","36","11","295.3","28","47","16","29","116","57","5","1","-5","1","17","37","14","5"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Will MacKenzie","17","69","68","70","67","274","-6","83111","51","27","28","17","38","24","279.3","73","52","15","29.8","119","50","0","0","-6","1","14","48","8","20"
