"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","William McGirt","28","71","66","64","72","273","-11","43500","81","37","5","28","33","27","297.9","60","56","30","28.8","115","14","2","-9","-4","1","19","43","8","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","William McGirt","45","70","68","74","66","278","-6","18060","44","34","67","45","41","13","254.6","76","53","21","29","116","41","-2","1","-5","0","17","45","9","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","William McGirt","46","67","72","68","68","275","-5","15523","12","66","55","46","26","47","288","54","49","23","29.3","117","55","1","-2","-4","0","14","49","9","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","William McGirt","76","70","70","64","73","277","-11","10659","80","91","34","76","38","35","278.8","78","53","47","29.5","118","75","0","-1","-10","2","15","48","6","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","William McGirt","19","65","69","73","70","277","-7","63302","3","8","25","19","34","32","289.1","64","50","37","29","116","28","-1","0","-6","0","20","40","11","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","William McGirt","6","69","67","65","73","274","-10","216913","18","5","1","6","31","30","265.3","76","49","10","28.8","115","44","-1","-1","-8","1","18","43","10","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","William McGirt","71","65","69","78","0","212","2","11700","3","6","71","0","32","0","287.3","0","32","0","28","84","0","0","4","-2","1","6","40","6","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","William McGirt","29","68","71","69","71","279","-9","21306","4","25","27","29","36","40","280.3","49","49","48","28.5","114","25","-1","-1","-7","0","17","47","8","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","William McGirt","31","72","71","72","74","289","1","36766","49","25","24","31","41","3","279.8","56","42","28","28.3","113","45","3","1","-3","0","12","49","10","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","William McGirt","9","66","76","71","66","279","-5","156600","1","31","34","9","34","60","260.8","68","40","53","26","104","5","-2","2","-5","0","16","45","11","30"
