"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Woody Austin","40","68","73","68","70","279","-1","19800","38","59","36","40","42","15","269.8","59","50","43","30.3","121","41","3","0","-4","0","14","45","13","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Woody Austin","13","72","70","68","71","281","-11","130000","24","16","12","13","47","15","262.1","28","53","25","29.5","118","6","3","-4","-10","0","21","41","10","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Woody Austin","45","73","70","69","76","288","1","18499","120","73","18","45","41","10","270.4","43","45","46","30","120","46","3","5","-7","1","11","46","14","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Woody Austin","44","71","71","74","72","288","4","15892","26","22","58","44","35","24","276.9","26","39","68","28.5","114","9","4","5","-5","0","12","47","10","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Woody Austin","70","72","71","75","76","294","6","12462","61","39","64","70","31","69","279.5","64","45","54","30","120","47","0","13","-7","0","14","41","14","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Woody Austin","53","74","71","67","75","287","3","13326","92","58","22","53","38","25","271.1","47","44","22","29","116","60","1","8","-6","0","14","42","15","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Woody Austin","53","68","71","72","72","283","3","13241","24","44","50","53","31","43","275.4","54","39","59","26.8","107","11","0","6","-3","0","15","41","14","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Woody Austin","75","68","72","70","0","210","0","12155","31","69","75","0","24","0","291.8","0","40","0","31","93","0","0","1","-1","0","11","32","11","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Woody Austin","29","68","70","71","66","275","-5","37050","32","37","56","29","42","5","281.4","40","44","48","27.8","111","24","-1","1","-5","0","16","46","9","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Woody Austin","43","70","73","72","70","285","-3","12180","27","63","59","43","34","18","268.6","71","50","46","29.3","117","28","2","-2","-3","0","13","51","7","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Woody Austin","56","70","66","70","73","279","-9","15594","50","18","25","56","40","31","272.8","60","50","54","28.3","113","34","2","-6","-5","1","14","51","5","5"
