"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Y.E. Yang","33","71","68","71","67","277","-7","25857","50","28","52","33","37","10","291.9","43","53","30","29.3","117","32","1","-4","-4","1","14","49","7","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Y.E. Yang","72","68","71","76","72","287","7","10725","38","34","69","72","40","30","280","25","51","38","31.8","127","65","4","3","0","0","9","48","14","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Y.E. Yang","74","74","67","70","75","286","2","11520","110","65","64","74","35","42","269.6","58","48","60","29.8","119","58","0","7","-5","1","11","47","11","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Y.E. Yang","51","73","66","66","71","276","-4","12902","118","66","40","51","28","38","286.6","60","46","43","28.5","114","33","-2","1","-3","0","14","49","8","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Y.E. Yang","28","76","67","74","69","286","-2","38023","126","50","54","28","36","7","284.4","48","47","30","28.8","115","25","1","4","-7","0","15","45","11","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Y.E. Yang","69","64","73","75","75","287","3","12276","1","16","65","69","36","19","306.5","31","47","55","29.5","118","34","4","-1","0","0","15","42","13","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Y.E. Yang","75","71","68","74","0","213","3","11220","81","52","75","0","31","0","280","0","33","0","28.3","85","0","2","2","-1","0","8","36","9","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Y.E. Yang","37","68","70","71","71","280","-8","15400","4","20","34","37","42","8","278.3","53","51","33","28.8","115","35","-1","5","-12","1","16","46","8","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Y.E. Yang","38","73","72","70","72","287","3","23940","70","64","49","38","37","12","269.4","47","41","61","28.8","115","15","0","5","-2","0","10","50","11","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Y.E. Yang","48","72","70","69","73","284","-4","17544","83","67","50","48","35","38","288.1","49","42","71","27.3","109","8","1","0","-5","0","19","40","11","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Y.E. Yang","23","73","72","71","68","284","-4","58157","67","59","52","23","28","35","288","58","43","40","28.3","113","25","2","2","-8","0","15","47","9","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Y.E. Yang","45","69","68","68","69","274","-6","16960","49","47","42","45","38","21","304.8","30","55","12","30.5","122","69","-1","-1","-4","0","12","54","6","10"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Y.E. Yang","44","71","72","72","70","285","5","18004","35","42","51","44","31","44","277.5","56","39","62","28.3","113","19","-1","9","-3","0","13","44","12","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Y.E. Yang","64","74","72","68","76","290","2","6270","63","57","20","64","35","41","267","60","46","42","29.5","118","43","4","-1","-1","0","11","49","11","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Y.E. Yang","48","70","72","72","73","287","-1","25750","15","27","44","48","37","23","285","58","53","4","29.8","119","65","-1","8","-8","0","16","45","7","10"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Y.E. Yang","27","67","65","71","66","269","-11","39100","38","13","48","27","32","33","310.5","32","52","35","28.8","115","32","2","-7","-6","1","17","46","8","10"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Y.E. Yang","64","68","72","67","72","279","-5","11928","24","70","57","64","41","38","287.3","56","46","70","27.5","110","8","1","-3","-3","0","16","47","7","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Y.E. Yang","55","68","68","67","73","276","-8","7945","23","29","20","55","39","34","294.9","31","52","50","29.3","117","37","3","-2","-9","0","17","47","7","5"
