"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Zac Blair","12","69","66","69","74","278","-10","117600","13","2","2","12","34","22","281.3","68","52","17","28.3","113","21","-1","-1","-8","0","18","46","8","20"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Zac Blair","43","70","71","67","72","280","-8","23800","33","52","32","43","40","20","0","0","49","59","28","112","10","0","-7","-1","0","14","53","4","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Zac Blair","10","68","67","68","70","273","-11","137433","24","14","14","10","35","45","270.3","62","52","21","28.3","113","28","-3","0","-8","1","15","50","6","30"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Zac Blair","33","66","71","70","68","275","-7","27049","10","21","48","33","42","34","264.6","72","48","72","28","112","4","0","-2","-5","0","13","53","6","10"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Zac Blair","3","65","65","64","67","261","-19","394400","9","3","1","3","40","4","292.1","58","49","48","26.3","105","1","-3","-11","-5","0","23","45","4","60"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Zac Blair","33","74","67","72","67","280","-4","35913","113","48","53","33","40","5","272","69","48","20","28.3","113","21","0","1","-5","0","18","42","10","10"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Zac Blair","60","70","73","71","74","288","1","15050","48","67","54","60","45","8","286.4","44","42","56","28.3","113","35","0","5","-4","0","9","53","10","5"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Zac Blair","55","71","68","77","70","286","-2","14742","50","16","57","55","43","13","268","73","37","73","26","104","7","-1","2","-3","0","14","47","10","5"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Zac Blair","38","69","73","71","72","285","-3","27200","32","47","37","38","40","14","279.8","62","53","10","30","120","59","0","0","-3","0","13","51","6","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Zac Blair","59","69","71","75","76","291","7","12862","15","21","40","59","35","15","268.1","67","31","73","27","108","17","0","5","2","0","9","50","11","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Zac Blair","25","70","70","74","69","283","-5","49445","21","16","39","25","47","2","269","69","51","5","28.3","113","44","-4","0","-1","0","14","51","5","20"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Zac Blair","49","71","70","73","75","289","1","25914","62","56","34","49","42","4","276.5","74","40","72","28.3","113","16","4","2","-5","0","16","42","11","10"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Zac Blair","27","69","67","68","75","279","-9","59075","29","9","8","27","44","8","269.8","75","41","73","26.3","105","3","1","-3","-7","0","18","45","9","10"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Zac Blair","65","70","71","69","76","286","6","12896","40","61","42","65","31","29","273.4","70","36","70","26.8","107","8","5","4","-3","0","13","43","13","5"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Zac Blair","75","71","70","74","75","290","6","12972","72","47","69","75","39","4","275.6","73","46","63","29.5","118","42","3","7","-4","0","12","44","14","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Zac Blair","73","70","70","71","0","211","-2","6720","54","63","73","0","35","0","279.2","0","39","0","31","93","0","3","-2","-3","0","9","38","7","5"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Zac Blair","62","70","68","69","71","278","-2","14190","73","43","49","62","45","3","275.1","69","58","1","31.8","127","73","-1","1","-2","0","14","48","9","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Zac Blair","56","67","69","70","73","279","-5","10704","12","23","37","56","43","35","276.8","62","52","43","29.5","118","53","-1","-3","-1","0","13","51","8","5"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Zac Blair","74","70","72","77","73","292","8","16150","20","39","72","74","41","3","271.6","79","39","75","29.5","118","33","2","8","-2","1","11","42","15","5"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Zac Blair","62","71","69","71","75","286","-2","12720","63","36","40","62","38","2","273.5","64","52","43","30.5","122","64","-1","-1","0","0","11","52","9","5"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Zac Blair","26","70","66","69","73","278","-10","53900","26","8","9","26","42","8","0","0","56","13","29.3","117","34","-4","-2","-4","0","16","52","2","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Zac Blair","42","70","69","68","69","276","-8","25200","52","47","48","42","45","4","274.4","61","50","40","28.5","114","39","2","-9","-1","0","15","50","7","10"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Zac Blair","57","68","69","71","69","277","-5","13200","63","63","67","57","39","35","275.4","62","53","42","30.3","121","49","1","-3","-3","0","11","55","6","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Zac Blair","57","70","66","70","67","273","-7","13320","94","57","66","57","39","4","295.1","66","51","43","29.3","117","44","0","-5","-2","0","15","49","8","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Zac Blair","34","67","69","71","72","279","-9","28669","11","13","21","34","41","8","262.1","77","49","46","28","112","36","1","-4","-6","1","12","54","5","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Zac Blair","41","70","69","73","74","286","-2","22814","32","6","24","41","36","8","263.3","73","50","26","30.3","121","47","-5","5","-2","0","13","48","11","10"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Zac Blair","48","70","75","68","71","284","-3","17897","13","84","47","48","43","14","258","64","42","65","27.3","109","2","2","0","-5","0","16","45","9","10"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Zac Blair","34","70","68","69","73","280","-4","36120","50","20","14","34","38","6","270.8","57","45","28","28.8","115","53","2","-1","-5","1","12","50","8","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Zac Blair","62","70","71","69","73","283","-5","6330","52","69","47","62","44","5","276.9","68","54","38","30.3","121","58","0","1","-6","0","16","46","9","5"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Zac Blair","8","69","67","75","67","278","-10","210000","30","5","16","8","42","4","262.3","70","50","37","27.5","110","7","-3","-2","-5","0","18","48","4","30"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Zac Blair","32","70","70","70","70","280","-4","35193","53","47","43","32","37","20","265.8","71","47","24","28.3","113","45","-1","-1","-2","0","13","51","7","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Zac Blair","12","72","70","69","72","283","-5","142500","53","20","8","12","35","29","260.4","74","42","55","26.3","105","2","0","-5","0","1","17","41","12","20"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Zac Blair","40","69","68","72","70","279","-1","25605","26","17","42","40","30","32","273.3","62","44","43","28.5","114","39","1","0","-2","0","13","48","10","10"
