tournament_season,tournament_date,tournament_day_number,tournament_name,tournament_last_played_as,course_name,course_yardage,course_par,tournament_name,player_name,place,score_r1,score_r2,score_r3,score_r4,score_total,score_topar,winnings,place_r1,place_r2,place_r3,place_r4,fairways_hit,fairways_rank,driving_yards,driving_rank,greens_hit,greens_rank,putts_average,putts_total,putts_rank,score_topar_par3,score_topar_par4,score_topar_par5,eagles,birdies,pars,bogeys
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Brendan Steele,1,67,71,67,65,270,-18,1080000,9,16,6,1,36,5,291.8,23,54,21,27.8,111,8,1,-9,-10,0,24,43,4
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Patton Kizzire,2,64,71,66,70,271,-17,648000,2,5,1,2,23,67,289.4,36,54,21,27.3,109,3,-5,-7,-5,0,22,45,5
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Paul Casey,3,64,68,71,69,272,-16,288000,2,2,4,3,32,29,300.8,10,53,35,27,108,1,-4,-10,-2,0,22,45,4
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Scott Piercy,3,62,67,73,70,272,-16,288000,1,1,2,3,32,29,299,12,57,7,28.3,113,17,-1,-9,-6,1,21,43,7
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Johnson Wagner,3,65,67,70,70,272,-16,288000,4,2,2,3,32,29,286.5,42,57,7,28,112,11,-2,-9,-5,0,22,45,4
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Michael Kim,3,73,67,65,67,272,-16,288000,102,36,6,3,32,29,282.9,50,55,16,27.5,110,4,0,-8,-8,0,22,44,6
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Kevin Na,7,71,66,70,66,273,-15,201000,63,11,10,7,35,10,274.4,62,60,1,29.5,118,49,-2,-8,-5,0,20,47,5
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Phil Mickelson,8,69,69,69,67,274,-14,162000,22,16,10,8,25,62,280.6,52,54,21,28,112,11,-1,-6,-7,1,19,45,7
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Martin Laird,8,67,68,68,71,274,-14,162000,9,5,4,8,31,36,291,26,56,11,28.5,114,22,-2,-5,-7,0,22,42,8
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Chris Kirk,8,73,65,70,66,274,-14,162000,102,16,17,8,29,46,283.1,49,54,21,27.8,111,8,1,-10,-5,0,22,43,6
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Justin Thomas,8,75,66,66,67,274,-14,162000,129,51,10,8,27,53,304.1,7,54,21,28,112,11,-3,-6,-5,1,23,41,5
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Cody Gribble,8,67,69,70,68,274,-14,162000,9,7,8,8,34,14,288.3,39,56,11,28.5,114,22,0,-8,-6,1,19,46,5
2017,16-Oct-16,41197,Safeway Open,,Silverado C.C. (North),7166,72,Safeway Open,Mackenzie Hughes,13,69,69,69,68,275,-13,120000,22,16,10,13,33,20,286.6,41,54,21,28.8,115,30,0,-4,-9,0,23,40,8
