tournament_season,tournament_date,tournament_date,tournament_name,tournament_last_played_as,course_name,course_yardage,course_par,tournament_name,player_name,place,score_r1,score_r2,score_r3,score_r4,score_total,score_topar,winnings,place_r1,place_r2,place_r3,place_r4,fairways_hit,fairways_rank,driving_yards,driving_rank,greens_hit,greens_rank,putts_average,putts_total,putts_rank,score_topar_par3,score_topar_par4,score_topar_par5,eagles,birdies,pars,bogeys
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Emiliano Grillo,1,68,71,65,69,273,-15,1080000,13,19,4,1,36,8,300,37,53,16,28,112,16,-2,-7,-6,1,18,48,5
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Kevin Na,2,68,71,64,70,273,-15,648000,13,19,2,1,37,3,301.9,31,55,9,28.8,115,37,0,-3,-12,1,20,44,7
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Jason Bohn,3,72,68,64,70,274,-14,312000,89,29,4,3,37,3,288.8,64,59,1,29,116,43,-3,-7,-4,0,23,40,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Tyrone Van Aswegen,3,69,68,69,68,274,-14,312000,29,10,13,3,32,29,298.3,44,55,9,27.8,111,12,-2,-3,-9,0,20,46,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Justin Thomas,3,66,70,69,69,274,-14,312000,5,6,12,3,24,67,302.8,26,58,2,28.8,115,37,-1,-5,-8,0,20,47,4
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Justin Rose,6,67,69,68,72,276,-12,194250,7,6,4,6,26,61,308.4,15,58,2,29.5,118,56,2,-5,-9,0,20,44,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Charl Schwartzel,6,71,68,69,68,276,-12,194250,67,19,20,6,31,34,308.1,16,53,16,28.5,114,28,-1,-4,-7,0,17,51,3
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Kyle Reifers,6,68,71,65,72,276,-12,194250,13,19,4,6,35,10,301.9,31,58,2,29.3,117,53,-5,-5,-2,0,17,51,3
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Patrick Rodgers,6,68,69,69,70,276,-12,194250,13,10,13,6,34,19,312.6,8,56,8,29.5,118,56,5,-3,-14,2,22,35,12
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Ryan Moore,10,72,70,67,68,277,-11,128571,89,56,27,10,31,34,298.9,39,52,22,28,112,16,0,-3,-8,0,19,45,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Jhonattan Vegas,10,64,71,69,73,277,-11,128571,2,2,4,10,35,10,306,19,55,9,29.5,118,56,1,-3,-9,1,15,51,4
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Chris Stroud,10,69,69,71,68,277,-11,128571,29,14,27,10,33,22,286,67,57,5,28.8,115,37,-2,-1,-8,0,19,45,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Will Wilcox,10,68,67,69,73,277,-11,128571,13,2,4,10,32,29,297.4,46,52,22,28.5,114,28,-1,-8,-2,0,16,51,5
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Andrew Loupe,10,68,72,63,74,277,-11,128571,13,29,2,10,26,61,306.5,17,55,9,29,116,43,-4,3,-10,0,23,38,10
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Luke Guthrie,10,71,70,66,70,277,-11,128571,67,39,17,10,28,49,302,30,52,22,28.8,115,37,0,-4,-7,0,17,49,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Smylie Kaufman,10,68,72,69,68,277,-11,128571,13,29,27,10,25,63,303,24,50,34,28,112,16,3,-2,-12,0,22,40,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Charles Howell III,17,69,69,68,72,278,-10,73333,29,14,13,17,24,67,310.5,12,50,34,28,112,16,4,-6,-8,0,17,49,5
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Lucas Glover,17,69,73,66,70,278,-10,73333,29,56,20,17,37,3,310.8,11,55,9,28.8,115,37,0,-4,-6,0,17,49,5
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Chez Reavie,17,70,71,71,66,278,-10,73333,47,39,54,17,33,22,293.8,54,48,50,28.3,113,22,-2,-2,-6,0,20,42,10
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Brandt Snedeker,17,73,69,69,67,278,-10,73333,114,56,44,17,31,34,302.1,29,46,60,26.5,106,3,1,-5,-6,0,16,50,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Fabian Gomez,17,70,72,70,66,278,-10,73333,47,56,54,17,33,22,302.9,25,52,22,28.3,113,22,-2,-2,-6,0,16,50,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Brendan Steele,17,63,70,69,76,278,-10,73333,1,1,1,17,37,3,313.1,7,55,9,29.5,118,56,1,-3,-8,1,20,39,12
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Hideki Matsuyama,17,70,70,69,69,278,-10,73333,47,29,27,17,34,19,298.8,41,55,9,29,116,43,-1,1,-10,1,18,43,10
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Hudson Swafford,17,69,72,67,70,278,-10,73333,29,39,20,17,31,34,322.8,1,49,42,27.8,111,12,-2,-2,-6,0,18,46,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Daniel Berger,17,70,69,70,69,278,-10,73333,47,19,27,17,30,42,319,4,53,16,28.3,113,22,-2,-4,-4,0,19,45,7
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Sean O'Hair,26,68,71,68,72,279,-9,45300,13,19,17,26,28,49,303.8,23,49,42,28.3,113,22,5,-5,-9,1,17,45,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Erik Compton,26,69,72,70,68,279,-9,45300,29,39,44,26,34,19,300.1,36,49,42,26.5,106,3,2,-6,-5,0,20,42,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Rory McIlroy,26,68,71,71,69,279,-9,45300,13,19,39,26,33,22,311.5,9,53,16,29,116,43,-3,1,-7,0,17,47,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Brendon Todd,26,69,73,68,69,279,-9,45300,29,56,39,26,36,8,300.9,34,52,22,29,116,43,2,-2,-9,0,16,49,7
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,William McGirt,30,72,69,70,69,280,-8,39900,89,39,44,30,35,10,291.8,57,47,54,27.3,109,7,-1,-2,-5,1,17,43,11
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Mark Hubbard,30,68,72,70,70,280,-8,39900,13,29,39,30,28,49,290.5,59,45,64,27,108,5,0,-1,-7,0,16,48,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,David Toms,32,71,71,69,70,281,-7,31133,67,56,44,32,31,34,280.8,70,50,34,28.5,114,28,3,-4,-6,0,15,49,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Freddie Jacobson,32,69,73,67,72,281,-7,31133,29,56,27,32,31,34,294.4,52,44,68,27,108,5,0,-5,-2,0,13,53,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Ben Crane,32,69,71,68,73,281,-7,31133,29,29,20,32,35,10,281.8,69,47,54,27.5,110,11,0,1,-8,0,21,37,14
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Hunter Mahan,32,69,73,67,72,281,-7,31133,29,56,27,32,25,63,287.3,65,44,68,26.3,105,2,3,-11,1,0,18,44,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Daniel Summerhays,32,67,74,70,70,281,-7,31133,7,39,44,32,31,34,294.5,51,52,22,29.5,118,56,-1,-2,-4,1,13,50,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Graham Delaet,32,67,68,69,77,281,-7,31133,7,2,4,32,35,10,319.1,3,57,5,30,120,68,1,-6,-2,0,17,47,6
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Miguel Angel Carballo,32,72,69,67,73,281,-7,31133,89,39,20,32,30,42,304.6,20,50,34,28.5,114,28,0,0,-7,1,16,45,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Tony Finau,32,70,69,70,72,281,-7,31133,47,19,27,32,28,49,319.5,2,49,42,28.3,113,22,0,1,-8,0,18,44,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Carlos Ortiz,32,71,71,69,70,281,-7,31133,67,56,44,32,29,45,297.6,45,49,42,27.3,109,7,-1,-1,-5,0,16,48,7
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Jerry Kelly,41,72,69,71,70,282,-6,21000,89,39,54,41,37,3,292,55,53,16,29.8,119,64,0,-2,-4,0,11,56,5
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Kevin Streelman,41,69,73,69,71,282,-6,21000,29,56,44,41,35,10,298.5,42,57,5,30.5,122,70,2,-3,-5,0,14,50,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Colt Knost,41,71,66,72,73,282,-6,21000,67,10,27,41,32,29,280,72,53,16,28.5,114,28,0,-1,-5,1,12,51,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,James Hahn,41,74,66,68,74,282,-6,21000,124,29,20,41,33,22,298.9,39,50,34,29,116,43,3,0,-9,0,19,40,13
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Adam Hadwin,41,72,67,71,72,282,-6,21000,89,19,39,41,27,58,296.8,47,48,50,28.5,114,28,0,2,-8,1,13,49,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Russell Henley,41,67,69,72,74,282,-6,21000,7,6,20,41,32,29,302.4,27,52,22,29,116,43,0,-3,-3,0,14,50,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Brooks Koepka,41,69,72,66,75,282,-6,21000,29,39,17,41,24,67,304.6,20,46,60,27.3,109,7,2,-3,-5,1,15,47,8
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Carl Pettersson,48,70,72,71,70,283,-5,14914,47,56,61,48,20,72,301.3,33,39,73,25.5,102,1,1,-2,-4,0,16,45,11
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Johnson Wagner,48,71,71,71,70,283,-5,14914,67,56,61,48,25,63,311.4,10,50,34,29.3,117,53,3,1,-9,1,14,47,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Spencer Levin,48,72,70,72,69,283,-5,14914,89,56,69,48,33,22,289.1,61,48,50,29,116,43,0,1,-6,0,14,49,9
2016,18-Oct-15,40833,Frys.com Open,,Silverado C.C. (North),7203,72,Frys.com Open,Jonas Blixt,48,70,68,74,71,283,-5,14914,47,14,54,48,29,45,290.6,58,44,68,27.8,111,12,4,-8,-1,0,15,47,10
